Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Primary Use Encoded,cluster_kmeans,cluster_hierarchical,cluster_dbscan,cluster_gmm,cluster_spectral
23,0,0,8,0,10.7,29,9,175,2.9,633,6.4,0,1345,3,3,0,0,0,0,0
56,2,6,3,0,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,4,4,3,0,0,0,0
20,2,2,7,0,11.9,45.5,195.8,150,4.1,479,5.6,1.7,169,0,0,3,0,0,0,0
22,2,6,1,0,1.6,34.1,6,153,5.8,5175,5.7,2.2,805,4,4,3,0,0,0,0
19,1,6,0,1,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,0,0,2,1,1,1,1
49,2,7,7,0,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,3,3,3,0,0,0,0
54,1,0,8,0,2.2,22,30.8,156,1.8,8307,1.1,3,1788,3,3,1,0,0,0,0
40,1,1,8,0,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,4,4,1,0,0,0,0
52,0,6,9,0,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,3,3,1,0,0,0,0
42,2,8,1,0,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,0,0,3,0,0,0,0
23,2,4,7,0,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,1,1,3,0,0,0,0
51,2,8,7,0,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,0,0,3,0,0,0,0
19,1,1,6,0,3.1,24.8,82.1,75,3.9,1396,2,1.6,1245,3,3,1,0,0,0,0
52,2,3,9,0,1.5,41,95.5,140,5.5,8029,5,0.1,802,3,3,3,0,0,0,0
17,2,7,0,1,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,1,1,2,1,1,1,1
31,0,0,3,0,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,0,0,0,0,0,0,0
49,2,5,4,0,8.6,46,181.8,154,1.6,4264,7.5,0.4,1142,3,3,3,0,0,0,0
21,1,3,2,0,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,0,0,0,0,0,0,0
51,1,7,4,0,5.4,15.8,115.7,115,3.2,2929,3,2.7,1772,3,3,1,0,0,0,0
32,2,8,8,0,5.8,27.5,30,193,4,948,5.6,4.6,122,3,3,3,0,0,0,0
43,2,1,9,0,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,4,4,3,0,0,0,0
25,1,1,4,0,5.6,38,296.5,40,1.5,799,1,2.4,1831,4,4,1,0,0,0,0
16,0,9,3,0,9,7.1,142.9,164,4.9,6088,2.1,1.9,686,4,4,0,0,0,0,0
49,1,9,2,0,3.4,17,235.4,52,2.8,7018,7.3,4.7,2000,0,0,1,0,0,0,0
35,1,4,9,0,3,8.3,253.1,18,2.5,9494,3.1,4.6,479,2,2,1,0,0,0,0
49,1,9,0,1,4.5,1.9,54.5,197,4.3,3575,6.7,0,679,1,1,2,1,1,1,1
34,0,6,0,1,3.5,20.6,134,73,5.6,2918,3,1,329,1,1,2,1,1,1,1
38,2,5,5,0,1.3,9,119.7,36,2,5666,4,4.1,1605,0,0,3,0,0,0,0
38,0,0,4,0,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,4,4,1,0,0,0,0
41,0,3,6,0,2.5,9.3,111,69,0.6,2918,6.5,1.9,1699,0,0,1,0,0,0,0
41,0,1,7,0,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,0,0,0,0,0,0,0
30,0,0,7,0,1.7,10.4,74,64,2.5,468,4.9,4.1,1361,4,4,1,0,0,0,0
43,1,6,1,0,3,24.3,151.7,143,1.1,4443,6.3,0.3,546,0,0,1,0,0,0,0
40,0,6,7,0,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,3,3,1,0,0,0,0
18,1,3,5,0,5.3,10.4,257,116,2.3,4368,7.6,4.2,1359,2,2,1,0,0,0,0
24,0,3,0,1,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,4,4,2,1,1,1,1
51,0,7,5,0,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,1749,3,3,0,0,0,0,0
23,2,6,2,0,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,2,2,3,0,0,0,0
43,2,6,6,0,6.9,3,74.6,117,3.1,1883,5.2,1.8,108,2,2,3,0,0,0,0
31,1,0,1,0,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,4,4,0,0,0,0,0
56,0,3,5,0,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,430,2,2,1,0,0,0,0
51,0,0,7,0,9.2,45.9,294,129,3.7,5449,1,3.8,1222,1,1,0,0,0,0,0
19,2,6,2,0,6,42.2,193,101,3.1,4606,2.2,3.9,705,1,1,3,0,0,0,0
26,2,9,9,0,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,3,3,3,0,0,0,0
28,1,2,9,0,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,2,2,1,0,0,0,0
37,2,9,4,0,10.5,33,69,92,4,8284,1.3,4.1,781,4,4,3,0,0,0,0
42,2,7,1,0,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,1691,0,0,3,0,0,0,0
46,2,9,6,0,10,30.8,105.6,179,3.9,3003,4.9,2.4,472,1,1,3,0,0,0,0
52,1,5,7,0,5,46.6,127.1,56,4.6,7151,4.1,2.2,554,0,0,1,0,0,0,0
23,0,4,7,0,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,1,1,1,0,0,0,0
25,0,4,3,0,5,26.4,216.9,78,4,3751,1.7,4.4,1249,1,1,1,0,0,0,0
39,0,0,3,0,2.4,14.6,9.5,84,1.6,1401,3.6,2,1081,0,0,1,0,0,0,0
43,2,7,8,0,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,3,3,3,0,0,0,0
39,1,5,7,0,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,3,3,0,0,0,0,0
38,1,7,5,0,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,2,2,1,0,0,0,0
46,2,7,2,0,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,1186,2,2,3,0,0,0,0
33,1,5,8,0,10.9,38,273.4,198,3,305,5.1,2.7,324,0,0,0,0,0,0,0
51,2,3,3,0,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,1479,2,2,3,0,0,0,0
57,2,9,3,0,10.8,39.2,28.6,126,4,526,4.7,1.2,1610,1,1,3,0,0,0,0
59,1,9,1,0,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,1,1,1,0,0,0,0
21,2,6,8,0,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,2,2,3,0,0,0,0
17,2,4,2,0,11.8,35.2,111.2,140,0.7,856,7,2,1474,1,1,3,0,0,0,0
22,1,8,1,0,8,12.9,82.9,113,3.9,2936,4.7,0,443,4,4,0,0,0,0,0
25,1,1,0,1,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,1,1,2,1,1,1,1
29,0,6,2,0,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,3,3,0,0,0,0,0
31,0,9,0,1,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,0,0,2,1,1,1,1
39,1,9,0,1,8.4,46.3,175.6,180,5.6,3881,7,0.1,1254,3,3,2,1,1,1,1
15,2,8,6,0,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,4,4,3,0,0,0,0
21,1,3,0,1,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,1,1,2,1,1,1,1
56,1,4,2,0,11.6,31.6,123.1,150,2,7124,6.7,3.4,1037,1,1,0,0,0,0,0
29,0,5,9,0,4.8,8.4,253,62,5.9,1373,1.4,0.8,1216,2,2,1,0,0,0,0
58,0,2,9,0,7.9,7.9,18.5,34,1,1875,3.5,0.4,1983,3,3,0,0,0,0,0
40,2,2,9,0,5.5,42.8,50,142,3.6,8911,4.4,3.7,1226,4,4,3,0,0,0,0
38,2,4,6,0,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,3,3,3,0,0,0,0
32,2,3,4,0,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,4,4,3,0,0,0,0
28,0,4,7,0,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,0,0,0,0,0,0,0
57,1,5,3,0,9.6,49.4,257.1,47,2.7,5899,6,2.5,414,2,2,0,0,0,0,0
43,0,5,5,0,1.2,20.5,244.1,13,3,4570,5.3,3.2,206,3,3,1,0,0,0,0
54,2,4,1,0,8,24.5,85.7,163,1.5,2640,3.8,1.1,1580,3,3,3,0,0,0,0
15,2,9,5,0,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,0,0,3,0,0,0,0
27,1,5,0,1,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,0,0,2,1,1,1,1
56,1,2,6,0,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,1,1,1,0,0,0,0
15,2,5,3,0,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,0,0,3,0,0,0,0
19,0,2,2,0,7.2,16,163.5,191,1.9,6130,4.8,1.8,1202,2,2,0,0,0,0,0
31,2,8,6,0,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,4,4,3,0,0,0,0
44,2,2,3,0,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,2,2,3,0,0,0,0
53,1,4,1,0,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,254,1,1,1,0,0,0,0
46,2,8,7,0,5.9,38.1,144.6,186,2.1,684,4.5,1.2,1562,3,3,3,0,0,0,0
25,2,4,4,0,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,1,1,3,0,0,0,0
49,1,9,1,0,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,837,3,3,0,0,0,0,0
23,0,9,5,0,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,1054,4,4,0,0,0,0,0
24,1,3,7,0,6.1,9,240.6,126,1,1035,3.2,1.3,944,2,2,0,0,0,0,0
21,1,8,5,0,6.5,1.5,115,196,2.1,1824,1.8,1.8,727,1,1,0,0,0,0,0
39,0,3,0,1,4.8,22.6,205,71,5.3,5852,3.6,3.6,1574,4,4,2,1,1,1,1
50,0,3,2,0,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,905,3,3,1,0,0,0,0
25,2,4,4,0,5.2,37.5,218.5,23,3.1,3433,6.6,2,147,0,0,3,0,0,0,0
21,2,7,8,0,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,1149,1,1,3,0,0,0,0
39,0,4,1,0,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,1795,3,3,0,0,0,0,0
48,1,2,0,1,5,22.5,98.8,143,2.1,708,7.6,2.9,1389,3,3,2,1,1,1,1
18,2,7,0,1,3.7,40.8,226,167,0.8,4554,0.9,4.2,411,3,3,2,1,1,1,1
56,1,5,3,0,4.4,11.9,30.3,68,5.7,716,2.6,0.3,715,1,1,1,0,0,0,0
43,2,7,7,0,2.4,42.1,147.2,143,4.8,3847,5.6,4.4,1760,4,4,3,0,0,0,0
59,1,0,9,0,8.8,31.1,216.5,122,2.8,3840,4.1,3.4,267,1,1,0,0,0,0,0
33,1,0,0,1,8.2,34.4,173,177,5.2,8751,0.7,3,850,2,2,2,1,1,1,1
19,1,7,8,0,4.1,14.3,134.6,193,4.9,977,6.2,0.2,512,3,3,1,0,0,0,0
59,0,6,9,0,1.5,5.3,286.9,83,4.8,151,6.9,0.4,1849,2,2,1,0,0,0,0
49,1,5,3,0,1.8,14.2,176.7,138,3.4,4034,8,2.5,1130,0,0,1,0,0,0,0
53,0,1,9,0,8.1,22.6,228.5,48,2.8,1175,5,2.2,176,2,2,0,0,0,0,0
49,2,7,2,0,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,1980,3,3,3,0,0,0,0
57,2,2,2,0,1.1,23.3,41.1,10,0.8,2170,4.1,2.6,1653,3,3,3,0,0,0,0
45,1,8,8,0,6.7,26.1,137.5,137,4.9,8216,5.6,1.3,306,3,3,0,0,0,0,0
18,1,4,0,1,6,16.7,201.8,43,2.9,4640,5.2,4.6,1497,1,1,2,1,1,1,1
42,1,2,1,0,5.5,49.4,55.7,117,1.4,9032,2,4.5,332,1,1,1,0,0,0,0
39,1,4,5,0,3.1,9.3,165.3,199,2.6,8547,1.4,3.5,186,3,3,1,0,0,0,0
60,1,9,7,0,11.8,40.7,134.9,75,2,837,2.3,1.8,387,0,0,0,0,0,0,0
16,2,2,7,0,7.9,6.8,69.8,38,2.8,5468,7.7,4.2,1304,1,1,3,0,0,0,0
51,1,3,6,0,1.7,26,80.4,33,5.7,8873,4,1.3,1318,3,3,1,0,0,0,0
50,2,3,2,0,3.8,15.6,264.9,183,0.9,4894,0.7,4.2,1740,4,4,3,0,0,0,0
29,0,7,8,0,3.9,19,64.4,106,1,9942,3.3,0.3,612,3,3,1,0,0,0,0
51,0,7,4,0,7.3,44.2,211.4,80,0.5,6983,6.1,2.5,1150,2,2,0,0,0,0,0
50,2,0,3,0,5.4,15.1,40.6,130,5.6,3470,5.3,2.2,1047,3,3,3,0,0,0,0
34,2,6,4,0,1.9,1.4,187.6,34,2.5,2706,0.9,4.4,287,3,3,3,0,0,0,0
16,2,5,2,0,11.5,41.2,274.4,122,4.8,206,3.1,1.2,1935,0,0,3,0,0,0,0
35,0,4,9,0,7.9,33.3,50,90,5.8,8385,6.2,4,633,4,4,0,0,0,0,0
39,1,9,5,0,7.2,12.1,281.8,58,1.9,5116,7.6,4.5,1271,3,3,1,0,0,0,0
38,1,5,3,0,5,27.2,166.8,152,1.8,1111,0.7,4,578,4,4,1,0,0,0,0
34,2,8,6,0,9.4,9.7,96.8,19,4,7564,3.2,2.1,1003,4,4,3,0,0,0,0
58,2,8,0,1,7.1,43.3,248.5,57,2.6,8474,2,0.9,160,2,2,2,1,1,1,1
40,2,2,8,0,9.9,14.7,128,121,3.6,3870,5.2,3.8,258,3,3,3,0,0,0,0
20,0,5,1,0,9,6,137.9,49,0.7,8615,0.8,2.3,223,0,0,0,0,0,0,0
29,1,2,5,0,10.1,33.3,168.3,40,2.5,8182,4.9,0.2,621,2,2,0,0,0,0,0
29,2,2,5,0,8.1,37.9,218.4,93,4,7142,5.5,0.1,157,2,2,3,0,0,0,0
33,2,0,1,0,3.6,36.2,83.9,52,4.9,639,7.9,3,1480,2,2,3,0,0,0,0
28,2,4,7,0,11.1,35.3,37.4,182,5.6,7845,3.3,2.2,1813,3,3,3,0,0,0,0
28,0,5,7,0,7.5,20.6,205.1,188,3.7,7816,3.4,3,952,3,3,0,0,0,0,0
47,1,8,3,0,8.7,25.7,196.5,14,5.3,2252,4.6,3.7,757,0,0,0,0,0,0,0
39,0,2,1,0,12,32.2,35.9,16,4.1,1414,0.8,3.6,233,1,1,0,0,0,0,0
47,1,2,7,0,5,26.6,250.1,21,3.8,2485,7.6,0.6,1723,3,3,1,0,0,0,0
19,2,8,9,0,11.7,6.2,81.7,20,3.3,3667,6.1,4.2,722,3,3,3,0,0,0,0
54,1,4,1,0,8.7,30.9,286.4,173,3,2456,6.8,2.3,1716,3,3,0,0,0,0,0
44,0,0,3,0,3.7,26.1,275.5,119,2.8,957,2.4,1.8,590,4,4,1,0,0,0,0
52,0,7,4,0,2.2,18.7,121.5,132,1.1,1903,5.4,0.2,1804,3,3,1,0,0,0,0
43,1,9,3,0,5.4,21.2,244.2,140,3.3,8206,7.9,1,1178,3,3,1,0,0,0,0
50,1,6,4,0,4,9.2,267.7,53,5.7,6357,0.7,1.2,1479,4,4,1,0,0,0,0
30,1,8,6,0,5.8,15.2,116,10,2.5,1605,4.7,0.2,897,1,1,1,0,0,0,0
38,2,4,7,0,5.1,18.7,67.4,147,3.3,5150,6.5,0.7,408,3,3,3,0,0,0,0
33,0,4,6,0,4.3,44.9,64.7,176,5.2,3146,2.2,0.2,1484,4,4,1,0,0,0,0
53,0,9,1,0,4.9,6.5,199.6,181,5.1,7676,3.3,0.6,1150,4,4,1,0,0,0,0
56,1,6,4,0,10.4,47.4,168.2,127,1.8,126,5.3,1.3,319,3,3,0,0,0,0,0
58,0,9,5,0,5.4,14.8,106,58,5,3633,1.7,4.6,703,1,1,1,0,0,0,0
31,0,7,0,1,11.8,35.5,132,91,4.4,4462,0.8,2.8,858,1,1,2,1,1,1,1
42,0,8,6,0,10.2,21.4,296.3,175,1.1,2252,3.4,1.1,716,4,4,0,0,0,0,0
48,0,2,1,0,9.4,35.8,256.5,160,1.6,8873,5.1,1.6,882,4,4,0,0,0,0,0
51,0,3,3,0,6.1,46.3,38.1,89,2.1,6856,5.3,0.9,1328,1,1,1,0,0,0,0
58,0,5,2,0,4.5,7.3,126.7,174,2.6,8052,7.3,2.4,779,2,2,1,0,0,0,0
32,2,4,8,0,1.6,9.1,122.1,120,3.7,2559,6,1.3,1557,2,2,3,0,0,0,0
41,0,3,7,0,4.6,49,89.2,28,4.8,8197,6.9,4.4,1969,3,3,1,0,0,0,0
20,1,5,6,0,5,33.3,28.3,70,3.1,2828,3.7,2.1,418,3,3,1,0,0,0,0
52,2,4,3,0,2.1,50,165.8,126,2.7,5500,6.4,3.9,739,1,1,3,0,0,0,0
53,2,8,1,0,3.3,43.2,102.8,140,1.3,1248,3.5,0,846,3,3,3,0,0,0,0
23,1,2,9,0,8.4,8,124.2,51,4.3,6406,3.1,0.1,953,0,0,0,0,0,0,0
36,1,4,1,0,3,41,188.4,95,1.8,627,1.7,4,1407,3,3,1,0,0,0,0
34,0,6,3,0,3.9,43.6,296.2,193,0.8,2430,1.9,4,1128,2,2,1,0,0,0,0
45,2,3,0,1,6.4,15.3,38.5,96,5.7,3191,7.9,4.6,1082,3,3,2,1,1,1,1
49,0,0,6,0,8.4,28.8,62.6,16,0.7,3036,3.3,3.7,1184,2,2,0,0,0,0,0
17,2,8,4,0,4.1,20.9,29.9,161,5,3385,7.8,2.3,1139,0,0,3,0,0,0,0
33,2,3,6,0,8.7,7.5,258.6,42,4.6,8676,3,1.9,366,2,2,3,0,0,0,0
41,2,5,4,0,6.6,44.6,56.3,28,2.6,4031,1.5,0.3,395,0,0,3,0,0,0,0
45,2,4,4,0,3.9,3.6,154.3,183,5.6,3338,7.6,4.9,929,2,2,3,0,0,0,0
25,0,3,6,0,1.5,19.1,235.2,17,2,5411,7.5,4.6,1540,0,0,1,0,0,0,0
60,2,3,9,0,7.9,32.2,238,65,2.2,4387,7.3,4.1,171,1,1,3,0,0,0,0
59,2,7,5,0,7.2,1,147.4,93,3.6,3533,3.2,3.5,541,4,4,3,0,0,0,0
23,0,1,9,0,3.2,32.2,92.2,112,4.1,6328,1.9,2,252,3,3,1,0,0,0,0
21,1,0,6,0,2.7,25.3,76.5,169,5.9,2312,4,1.8,185,2,2,1,0,0,0,0
16,1,2,5,0,8.2,8.4,233.3,142,0.9,8059,1.2,4.6,1804,4,4,0,0,0,0,0
15,2,6,8,0,11.4,20.4,171.1,47,1.6,4815,7.8,4.2,535,4,4,3,0,0,0,0
20,0,5,5,0,9.3,10.9,103.8,144,3.5,4535,1.7,2.8,1130,1,1,0,0,0,0,0
37,1,4,2,0,9.7,26.3,94.1,31,3.8,9853,7.8,4.9,644,3,3,0,0,0,0,0
18,2,1,1,0,10.7,24.8,170.7,184,1,9616,2,3.8,1542,4,4,3,0,0,0,0
33,2,3,7,0,8.3,46.6,28.4,175,0.6,9944,7.4,4.2,1390,3,3,3,0,0,0,0
21,1,5,1,0,12,18,211.5,113,3.1,1204,1.3,2,1766,4,4,0,0,0,0,0
28,2,0,5,0,10.1,23.4,209.2,78,5.7,5198,4.1,1.6,1712,2,2,3,0,0,0,0
26,0,5,1,0,5.5,8.5,207.8,132,1.4,2955,3,0.5,388,1,1,1,0,0,0,0
51,2,0,5,0,5.4,49.1,106.7,126,1.3,187,5.2,0.7,1496,1,1,3,0,0,0,0
43,2,1,7,0,4.8,22,23.9,187,3.7,8962,6.1,4.8,519,3,3,3,0,0,0,0
37,0,0,9,0,6.2,22,206.9,58,3.6,625,3.4,4.1,198,1,1,1,0,0,0,0
34,0,4,8,0,8.2,43.2,30.6,14,5.1,1312,6.5,3.9,1861,4,4,0,0,0,0,0
45,1,9,8,0,3.9,15.1,68.9,124,5,1599,4.5,1.7,1484,2,2,1,0,0,0,0
26,0,7,5,0,7,27.7,199,82,3.9,3790,5.4,3.2,1004,1,1,0,0,0,0,0
26,2,6,1,0,9.4,16.1,121.1,52,0.8,5732,1,4.4,1882,4,4,3,0,0,0,0
55,0,2,2,0,7.5,4.2,71,171,1,8505,4.6,3.7,364,4,4,0,0,0,0,0
20,1,2,6,0,4,2.5,219.7,83,4.3,891,0.7,3.4,706,0,0,1,0,0,0,0
41,0,7,0,1,10.1,38.2,66.3,126,3.5,2472,3.7,4.4,1901,0,0,2,1,1,1,1
25,0,8,2,0,6.4,8.4,5.7,168,3.4,4312,1.1,2.4,651,2,2,0,0,0,0,0
31,2,8,3,0,9.5,20,299.1,185,5.2,4643,5.7,2.5,529,3,3,3,0,0,0,0
36,2,5,3,0,1.7,1.7,179.2,103,3,737,2.6,2.9,810,1,1,3,0,0,0,0
24,1,7,7,0,11.1,31.5,177.7,94,3.3,6017,1.2,2.3,1413,4,4,0,0,0,0,0
34,2,9,5,0,11,16.9,80.3,56,4.7,4364,7.9,4.4,1038,4,4,3,0,0,0,0
33,2,9,8,0,7.1,29.7,140.9,149,3.1,7909,4.7,3.9,281,0,0,3,0,0,0,0
43,1,0,9,0,3.8,25.4,66.9,80,2.4,824,3.4,1,1093,0,0,1,0,0,0,0
20,2,2,7,0,8.5,49.5,199.5,136,0.5,8540,2.2,4.4,880,3,3,3,0,0,0,0
26,2,4,6,0,1.7,39,195.8,14,1.8,2268,7.2,1,669,4,4,3,0,0,0,0
49,2,7,1,0,7.1,27.5,137.6,182,3.5,9288,7.2,2.5,1342,3,3,3,0,0,0,0
48,1,9,6,0,7,28.3,87.1,106,5,6815,2.5,3.4,775,4,4,0,0,0,0,0
23,1,1,7,0,2.9,47.3,150.7,92,4,3099,2.7,1.9,525,3,3,1,0,0,0,0
23,1,3,0,1,3.1,18.1,231.2,132,3.6,2624,2.3,1.6,1594,4,4,2,1,1,1,1
40,0,6,6,0,6.9,16.6,65.1,164,1.2,5691,4.3,3.3,872,1,1,0,0,0,0,0
42,2,8,9,0,3.4,31.8,212,77,2.6,4230,7.4,1.7,1159,3,3,3,0,0,0,0
52,1,1,4,0,1.3,15.1,241,72,0.9,6597,1,1,1841,3,3,1,0,0,0,0
59,1,3,1,0,10.2,32.6,192,175,3.6,6366,5.5,3,1744,3,3,0,0,0,0,0
58,0,5,0,1,11.2,14.3,287.8,106,5.7,7811,7.7,3.1,363,2,2,2,1,1,1,1
59,2,4,4,0,9.9,31.3,236.6,52,4.7,5833,2.2,0.1,268,0,0,3,0,0,0,0
59,1,6,5,0,6.4,47.2,232.7,173,5.9,5604,6.5,3.2,1404,0,0,1,0,0,0,0
15,2,6,3,0,9.5,34.1,26.3,22,3.1,3896,1.3,2.3,782,1,1,3,0,0,0,0
54,2,9,5,0,4.5,42.6,61.8,96,1.5,4443,6,0.5,1786,0,0,3,0,0,0,0
34,1,2,5,0,10.6,28.3,154.5,180,4.5,689,7,4.1,708,0,0,0,0,0,0,0
